81	6854
81	36968
81	34796
81	37631
81	31168
81	36691
81	2492
81	23477
81	35636
81	29246
81	20956
81	25879
81	11227
81	6512
81	30826
81	26776
81	37395
81	21417
81	32545
81	36475
81	29543
81	19658
81	24209
81	32427
81	3246
81	23028
81	25325
81	18091
81	18263
81	7914
81	16478
81	17724
81	18732
81	860
81	26799
81	20819
81	29428
81	35433
81	37517
81	9130
81	22712
81	17821
81	20240
81	36279
81	15164
81	5790
81	6160
81	28252
81	13933
81	5446
81	3496
81	35252
81	1048
81	7969
81	9331
81	2032
81	17524
81	22797
81	36952
81	699
81	6642
81	25383
81	890
81	4334
81	17033
81	20940
81	11470
81	26153
81	27228
81	5064
81	18106
81	25150
81	36379
81	7356
81	30133
81	2406
81	30834
81	8561
81	16457
81	4367
81	36367
81	33586
81	12922
81	19647
81	11218
81	24768
81	5255
81	19947
81	28894
81	29524
81	5823
81	6980
81	5982
81	7094
81	8576
81	2871
81	5070
81	9921
81	18630
81	898
81	31381
81	12841
81	29459
81	1579
81	5631
81	37858
81	29859
81	18690
81	37175
81	3430
81	18891
81	31880
81	8895
81	37040
81	37100
81	212
81	17688
81	6604
81	4821
81	15600
81	24318
81	10461
81	8911
81	20898
81	28677
81	16321
81	28541
81	13498
81	21434
81	14620
81	2442
81	1526
81	29230
81	35270
81	27242
81	18746
81	36929
81	10788
81	18983
81	17018
81	17249
81	11821
81	26896
81	29774
81	34239
81	38312
81	13773
81	24760
81	19951
81	9844
81	35797
81	11848
81	16441
81	3651
81	16148
81	26802
81	32653
81	6773
81	1300
81	1591
81	29472
81	30548
81	16899
81	15968
81	16428
81	36919
81	22332
81	30580
81	22883
81	15084
81	8379
81	29437
81	353
81	33114
81	27733
81	34721
81	7729
81	35810
81	19782
81	29343
81	24688
81	5570
81	8119
81	355
81	5030
81	11910
81	36506
81	1099
81	11834
81	13483
81	3319
81	33903
81	20050
81	6526
81	18588
81	36307
81	11300
81	7942
81	30927
81	2264
81	21209
81	11868
81	24256
81	11462
81	1207
81	454
81	33881
81	15869
81	6530
81	621
81	33176
81	20920
81	22766
81	3698
81	9009
81	4411
81	26851
81	35828
81	5329
81	28131
81	25101
81	25043
81	28714
81	11160
81	34493
81	612
81	16539
81	7373
81	17972
81	10689
81	20249
81	3535
81	7589
81	9652
81	11553
81	19278
81	17762
81	28821
81	12437
81	12194
81	20007
81	23462
81	4277
81	8446
81	24440
81	17903
81	25127
